Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
08360216,00065605,08857688,00002182,00003213
08360360,00065626,08856624,00002180,00003214
08361040,00065637,08857360,00002180,00003214
08361328,00065650,08858712,00002181,00003213
08361248,00065645,08859320,00002180,00003212
08361112,00065634,08858152,00002180,00003211
08360640,00065607,08857064,00002179,00003211
08361184,00065584,08857856,00002178,00003207
08361168,00065545,08859096,00002176,00003203
08361200,00065503,08859352,00002176,00003201
08360472,00065463,08858000,00002176,00003198
08360664,00065429,08857136,00002173,00003199
08360776,00065398,08857656,00002178,00003198
08360648,00065370,08858960,00002177,00003197
08360664,00065337,08858520,00002173,00003198
08359680,00065313,08857384,00002175,00003197
08360128,00065286,08856504,00002175,00003198
08360288,00065258,08857280,00002174,00003198
08360552,00065239,08858520,00002173,00003194
08360008,00065217,08858112,00002175,00003193
08359384,00065195,08856488,00002175,00003191
08359824,00065167,08856064,00002173,00003191
08359776,00065144,08857160,00002168,00003186
08360224,00065123,08858024,00002172,00003187
08359400,00065110,08857664,00002171,00003188
08359736,00065099,08856264,00002171,00003188
08359400,00065093,08855880,00002171,00003188
08359888,00065091,08856824,00002171,00003189
08359848,00065091,08858232,00002174,00003188
08359368,00065097,08857096,00002172,00003185
08359056,00065101,08855752,00002173,00003190
08359184,00065098,08855832,00002172,00003184
08359864,00065097,08856928,00002171,00003185
08359360,00065101,08857832,00002172,00003185
08359416,00065103,08856960,00002170,00003185
08358792,00065093,08855664,00002169,00003183
08359552,00065102,08855776,00002174,00003187
08359856,00065106,08856968,00002173,00003184
08359552,00065102,08857680,00002168,00003187
08359208,00065103,08856640,00002171,00003182
08358720,00065114,08855552,00002173,00003188
08359440,00065119,08855752,00002169,00003187
08359592,00065131,08857048,00002171,00003186
08359384,00065130,08857480,00002170,00003190
08359080,00065143,08856344,00002172,00003187
08359056,00065154,08855368,00002175,00003188
08359448,00065162,08855808,00002172,00003187
08359552,00065167,08857448,00002174,00003188
08359584,00065181,08857408,00002171,00003188
08358832,00065194,08856048,00002174,00003189
08359080,00065207,08855104,00002174,00003188
08359240,00065228,08855928,00002171,00003196
08359720,00065242,08856888,00002175,00003189
08358912,00065245,08857008,00002176,00003194
08358872,00065272,08855648,00002174,00003195
08359024,00065277,08854984,00002173,00003192
08359216,00065291,08856024,00002172,00003194
08359448,00065309,08857160,00002173,00003196
08358936,00065321,08856784,00002176,00003201
08358584,00065338,08855400,00002175,00003202
08358744,00065352,08855272,00002176,00003198
08359432,00065370,08856352,00002177,00003196
08359080,00065383,08857296,00002177,00003203
08359208,00065400,08856496,00002174,00003202
08358608,00065415,08855272,00002174,00003199
08358912,00065437,08855224,00002175,00003206
08359040,00065450,08856504,00002175,00003201
08359144,00065469,08857200,00002175,00003201
08358768,00065486,08856328,00002175,00003206
08358304,00065502,08854896,00002178,00003203
08358832,00065521,08855016,00002178,00003205
08359056,00065534,08856496,00002177,00003207
08359440,00065551,08857336,00002177,00003205
08358792,00065577,08856304,00002181,00003212
08358952,00065589,08855040,00002179,00003208
08359064,00065608,08855440,00002176,00003209
08359568,00065630,08856656,00002182,00003210
08359528,00065645,08857096,00002184,00003212
08359056,00065668,08856168,00002180,00003212
08358920,00065690,08855224,00002181,00003213
08359080,00065703,08855704,00002179,00003214
08359528,00065713,08857088,00002179,00003213
08359024,00065725,08857496,00002183,00003214
08358928,00065719,08856048,00002179,00003211
08358624,00065703,08854944,00002179,00003208
08359272,00065678,08855688,00002177,00003205
08359240,00065646,08857128,00002176,00003202
08359112,00065611,08857080,00002177,00003201
08358656,00065563,08855744,00002174,00003198
08358744,00065529,08854968,00002175,00003196
08359264,00065488,08855952,00002176,00003193
08359096,00065454,08856952,00002172,00003196
08359016,00065428,08856920,00002172,00003194
08358240,00065392,08855384,00002173,00003192
08358792,00065361,08854808,00002172,00003190
08358752,00065334,08855960,00002172,00003187
08359336,00065300,08856792,00002174,00003190
08358872,00065273,08856776,00002172,00003183
08358344,00065241,08855152,00002169,00003184
08358912,00065210,08854672,00002169,00003184
08358768,00065176,08856216,00002171,00003183
08359184,00065148,08856976,00002169,00003181
08358312,00065116,08856328,00002171,00003180
08358568,00065089,08855032,00002165,00003180
08358640,00065070,08854960,00002167,00003180
08359168,00065053,08855664,00002168,00003177
08358712,00065035,08857080,00002169,00003180
08358680,00065028,08856104,00002169,00003174
08358392,00065025,08854872,00002170,00003177
08358536,00065021,08855104,00002166,00003178
08359168,00065024,08856448,00002165,00003178
08359016,00065024,08857000,00002166,00003176
08358768,00065016,08856080,00002169,00003177
08358120,00065018,08854504,00002168,00003176
08358760,00065015,08855264,00002168,00003174
08358768,00065018,08856192,00002165,00003176
08359008,00065017,08856880,00002167,00003173
08358200,00065023,08855776,00002166,00003177
08358392,00065029,08854448,00002166,00003171
08358600,00065019,08855536,00002166,00003176
08358856,00065032,08856616,00002168,00003174
08358560,00065034,08856800,00002168,00003175
08358296,00065045,08855584,00002167,00003177
08358488,00065054,08854544,00002166,00003177
08358648,00065061,08855408,00002166,00003174
08359072,00065075,08856736,00002167,00003176
08358304,00065089,08856672,00002165,00003173
08358424,00065096,08855512,00002168,00003175
08358160,00065106,08854584,00002166,00003175
08358808,00065122,08855672,00002167,00003175
08358776,00065134,08856712,00002167,00003178
08358632,00065151,08856696,00002168,00003172
08358056,00065170,08854984,00002171,00003178
08358248,00065179,08854776,00002169,00003180
08359152,00065194,08855784,00002169,00003179
08358800,00065208,08856784,00002169,00003180
08358584,00065227,08856320,00002170,00003182
08358072,00065245,08855112,00002171,00003180
08358464,00065262,08854984,00002168,00003181
08358728,00065282,08856072,00002171,00003183
08358752,00065290,08856672,00002173,00003182
08358192,00065308,08856264,00002168,00003184
08358152,00065323,08854696,00002171,00003185
08358120,00065343,08854664,00002171,00003182
08358600,00065367,08855920,00002171,00003184
08358920,00065372,08856736,00002171,00003187
08358168,00065391,08856152,00002168,00003185
08358224,00065408,08854520,00002172,00003187
08358224,00065429,08854856,00002174,00003184
08359008,00065448,08856192,00002171,00003188
08358320,00065468,08856464,00002173,00003189
08358304,00065476,08855608,00002172,00003192
08358144,00065500,08854624,00002171,00003193
08358528,00065517,08855120,00002173,00003191
08358736,00065538,08856416,00002174,00003193
08358624,00065554,08856792,00002174,00003196
08358208,00065573,08855392,00002173,00003195
08358240,00065591,08854496,00002175,00003197
08358704,00065616,08855336,00002175,00003194
08358752,00065633,08856296,00002176,00003200
08358544,00065657,08856424,00002176,00003198
08357920,00065677,08855312,00002179,00003199
08358312,00065694,08854432,00002180,00003200
08358312,00065710,08855384,00002179,00003200
08358576,00065728,08856592,00002178,00003198
08358216,00065733,08856392,00002177,00003199
08358240,00065734,08855064,00002175,00003199
08358072,00065715,08854472,00002177,00003196
08358632,00065699,08855256,00002176,00003195
08358464,00065673,08856560,00002176,00003191
