Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
07148584,00067156,07106760,00002281,00003225
07148224,00067148,07107776,00002282,00003222
07148280,00067136,07108168,00002282,00003222
07148176,00067137,07106888,00002279,00003221
07148104,00067123,07108376,00002279,00003222
07148272,00067118,07106504,00002279,00003222
07147904,00067106,07107840,00002280,00003224
07147904,00067104,07107744,00002279,00003222
07148056,00067097,07106952,00002282,00003224
07147776,00067093,07107936,00002281,00003221
07148144,00067087,07106408,00002281,00003222
07147632,00067089,07108208,00002281,00003225
07148024,00067074,07107248,00002282,00003221
07147760,00067081,07106968,00002280,00003221
07147560,00067067,07107792,00002281,00003224
07147864,00067067,07106152,00002281,00003220
07146928,00067066,07107952,00002282,00003221
07147552,00067065,07106640,00002279,00003222
07147120,00067063,07106976,00002278,00003223
07147472,00067063,07107224,00002280,00003224
07147744,00067058,07105928,00002280,00003222
07147160,00067060,07108088,00002280,00003225
07147584,00067064,07106392,00002281,00003222
07146672,00067065,07107080,00002283,00003226
07146976,00067061,07106520,00002282,00003224
07147088,00067068,07105928,00002286,00003229
07146832,00067067,07107584,00002284,00003228
07147224,00067076,07105856,00002283,00003228
07146584,00067078,07106928,00002280,00003224
07146760,00067082,07106176,00002280,00003229
07146800,00067089,07105680,00002284,00003232
07146544,00067091,07107224,00002284,00003235
07147040,00067093,07105496,00002282,00003235
07146240,00067095,07107224,00002286,00003232
07146800,00067108,07105512,00002286,00003235
07146728,00067113,07106088,00002284,00003238
07146464,00067123,07106920,00002285,00003240
07146672,00067130,07105136,00002285,00003238
07146160,00067132,07106968,00002284,00003238
07146632,00067142,07105192,00002287,00003241
07145928,00067141,07106120,00002290,00003239
07146264,00067145,07106232,00002287,00003242
07146392,,07105032,,
07145824,,07107008,,
07146488,,07104856,,
07145968,,07106240,,
07145824,,07106120,,
07146048,,07105608,,
07145816,,07106448,,
07146184,,07104512,,
07145656,,07106704,,
07146064,,07105808,,
07145944,,07105296,,
07145688,,07106240,,
07146136,,07104432,,
07145136,,07106560,,
07146040,,07104872,,
07145592,,07105656,,
07145448,,07106080,,
07145696,,07104504,,
07145280,,07106384,,
07145800,,07104808,,
07145352,,07105832,,
07145656,,07105392,,
07145464,,07104296,,
07145064,,07106568,,
07145416,,07104360,,
07144944,,07105872,,
07145328,,07104784,,
07145352,,07104928,,
07145088,,07106208,,
07145272,,07103536,,
07144440,,07106376,,
07145168,,07104488,,
07144760,,07104768,,
07144720,,07105672,,
07145072,,07104248,,
07144512,,07106080,,
07144968,,07103872,,
07144672,,07105376,,
07144824,,07105464,,
07144688,,07104392,,
07144528,,07105744,,
07144776,,07103824,,
07144216,,07105088,,
07144464,,07104824,,
07144544,,07104520,,
07144304,,07104512,,
07144352,,07104792,,
07144408,,07104944,,
07144280,,07104552,,
07143992,,07104424,,
07144032,,07104504,,
07144016,,07104848,,
07144000,,07104376,,
07143816,,07104464,,
,,07104320,,
